x,x,da4m,dl5,vm3,dl1,dc1,dm2,da3,dm3,vc3,da4l,vm2,dm3,va1v,va5,dm4,dl3,dm6,vc4,va6,dm5,vm5d,dl4,va1d,vm5v
class,odorant,2a,7a,9a,10a,19a,22a,23a,33b,35a,43a,43b,47a,47b,49b,59b,65a,67a,67c,82a,85a,85b,85f,88a,98a
9,1-propanol,33,180,52,-4,10,58,5,27,55,-13,33,16,-18,1,12,-5,16,48,17,0,47,22,-6,-9
9,1-butanol,45,195,103,-5,49,120,41,39,199,-1,73,24,-25,26,44,-2,65,72,38,2,44,28,0,-7
9,1-pentanol,35,166,160,11,84,179,73,42,188,77,109,62,-31,44,55,1,148,126,55,47,169,56,8,75
9,1-hexanol,40,96,102,10,146,63,51,1,237,133,73,58,-35,31,35,7,173,109,58,137,183,64,16,158
9,1-octanol,1,-18,20,-18,92,53,1,3,222,-13,28,7,-32,-6,-7,-4,44,11,35,4,56,10,-20,24
9,2-pentanol,38,78,227,17,74,113,41,45,162,96,168,77,-33,32,39,8,33,98,60,45,144,58,5,81
9,3-methylbutanol,30,157,97,-6,78,104,33,33,222,54,49,24,-33,20,25,-1,67,81,58,-15,24,41,4,14
9,3-methyl-2-buten-1-ol,36,196,59,-5,58,101,25,41,176,30,53,19,-25,35,26,4,215,95,42,11,25,37,7,194
9,1-penten-3-ol,34,124,209,-7,64,58,29,44,37,58,103,39,-35,32,39,-1,8,109,45,20,21,40,-6,-6
9,1-octen-3-ol,27,9,54,-6,149,121,19,-17,141,100,44,90,-30,15,15,16,164,24,34,40,180,31,-16,197
9,E2-hexenol,35,180,110,-8,79,87,41,21,223,32,89,31,-33,41,20,4,109,142,16,68,254,63,-8,214
9,Z2-hexenol,34,151,88,-15,85,111,55,21,202,76,173,30,-34,20,26,-6,105,99,37,9,149,50,-12,92
9,E3-hexenol,45,154,198,13,74,82,40,29,213,44,55,28,-34,29,32,7,160,102,34,149,241,71,-17,137
9,Z3-hexenol,29,150,154,-5,84,81,36,30,204,98,79,52,-29,37,42,-6,116,111,34,87,195,55,-16,138
9,glycerol,2,-2,8,-8,-21,4,-7,15,-4,-18,5,2,-1,0,-4,-3,-2,-1,-4,1,-1,2,8,-2
9,2 3-butanediol,6,-15,247,-5,-19,50,-4,36,4,-11,110,2,-11,-5,10,-6,13,35,24,13,16,9,0,8
10,methyl acetate,5,-6,24,9,-13,54,2,15,-6,-12,22,25,-21,-5,269,-3,7,7,15,-10,29,12,14,4
10,ethyl acetate,-3,6,37,6,7,53,2,10,18,8,132,86,-7,15,177,0,43,29,17,65,18,12,5,23
10,propyl acetate,31,-4,161,67,-1,198,12,13,102,12,174,214,-34,11,66,2,75,63,15,-13,163,48,11,154
10,butyl acetate,51,-19,151,128,31,212,29,12,63,20,138,205,-38,19,48,23,164,45,36,-11,249,56,0,227
10,pentyl acetate,35,-4,85,-1,130,158,20,-12,191,12,89,241,-24,8,65,34,216,17,21,30,190,35,9,191
10,hexyl acetate,29,-19,44,-19,50,172,2,11,206,-3,16,201,-37,-3,39,42,50,2,24,-9,34,2,3,78
10,isobutyl acetate,31,38,172,212,48,251,9,15,26,25,177,183,-28,-3,44,4,31,73,29,-23,133,39,7,208
10,isopentyl acetate,65,-33,139,208,81,232,21,6,22,17,96,122,-38,11,46,10,129,48,39,-16,231,27,-1,248
10,E2-hexenyl acetate,22,204,30,-4,37,194,4,13,227,-17,7,59,-32,6,45,36,73,12,28,0,47,11,-2,203
10,methyl butyrate,25,-1,143,43,-6,220,2,19,102,10,174,148,-25,20,136,3,115,75,25,3,78,30,8,69
10,ethyl butyrate,12,1,121,29,73,193,15,37,121,22,199,74,-16,-3,39,-8,167,112,27,125,102,26,-9,81
10,hexyl butyrate,4,-4,2,-1,6,39,1,4,225,-8,7,17,-17,0,2,8,62,6,10,40,97,1,-7,28
10,ethyl 3-hydroxybutyrate,53,-27,204,68,30,138,34,0,87,35,146,76,-35,42,35,39,96,89,5,210,235,72,-22,188
10,ethyl propionate,21,85,58,38,-13,188,-5,81,1,1,168,55,-23,-5,99,4,11,47,18,44,57,26,-5,41
10,ethyl methanoate,3,108,24,3,-17,13,-5,0,-11,-14,9,-3,-11,3,27,3,-2,1,-2,1,22,8,-5,16
10,methyl hexanoate,39,40,53,17,36,256,9,-16,-10,3,58,210,-33,12,2,19,87,21,18,-16,228,33,-27,188
10,ethyl hexanoate,22,-13,20,-14,42,224,13,0,-21,6,4,138,-31,-2,-8,7,143,-3,10,-22,89,10,-11,55
